customer_id,signup_date,region,plan,contract_type,monthly_fee_,tenure_months,payment_method,products_held,usage_gbmo,support_contacts_6m,complaints_raised,payment_failures_12m,nps_score_010,acquisition_channel,age_band,gender,paperless_billing,auto_renewal,churn_prob_score,churned_1yes,churn_date,churn_reason,high_risk_flag,revenue_per_product,tenure_band,predicted_churn_prob,predicted_churn
UK00033,2023-01-17 00:00:00.000000,Scotland,Basic,2-Year,9.99,36,Credit Card,4,1.7,1,1,0,5,Referral,35-44,F,No,Yes,0.24,0,,,0,2.4975,25-36m,0.06831266,0
UK00034,2020-07-28 00:00:00.000000,South East,Basic,1-Year,9.99,53,Credit Card,4,3.0,2,0,1,9,In-Store,25-34,F,No,No,0.18,0,,,0,2.4975,37m+,0.05239919,0
UK00035,2020-05-24 00:00:00.000000,Wales,Standard,Month-to-Month,19.99,71,PayPal,3,8.0,1,0,1,8,Online,25-34,F,No,Yes,0.13,0,,,0,6.663333333333333,37m+,0.14960691,0
UK00036,2022-12-16 00:00:00.000000,North West,Basic,Month-to-Month,9.99,39,Credit Card,3,5.3,0,0,0,7,Referral,35-44,F,No,No,0.21,0,,,0,3.33,37m+,0.25102067,0
UK00037,2023-06-20 00:00:00.000000,Scotland,Standard,2-Year,19.99,33,Bank Transfer,1,15.2,1,0,0,7,Online,25-34,F,No,Yes,0.06,0,,,0,19.99,25-36m,0.012916095,0
UK00038,2020-08-03 00:00:00.000000,North East,Standard,2-Year,19.99,39,Bank Transfer,3,13.1,1,0,2,10,Online,25-34,F,Yes,Yes,0.02,0,,,0,6.663333333333333,37m+,0.045427375,0
UK00039,2020-09-06 00:00:00.000000,London,Basic,1-Year,9.99,58,PayPal,1,0.8,0,1,0,7,Phone,45-54,F,No,Yes,0.3,0,,,0,9.99,37m+,0.47076946,0
UK00040,2022-10-10 00:00:00.000000,North East,Standard,Month-to-Month,19.99,19,Credit Card,3,14.6,2,1,2,4,Phone,45-54,Prefer not to say,No,No,0.51,1,2024-10-10 00:00:00.000000,Payment issues,0,6.663333333333333,13-24m,0.7525348,1
UK00041,2024-08-03 00:00:00.000000,East Midlands,Premium,Month-to-Month,39.99,4,PayPal,5,57.8,2,0,1,10,In-Store,45-54,F,Yes,No,0.44,0,,,0,7.998,0-6m,0.12586167,0
UK00042,2021-02-13 00:00:00.000000,London,Standard,Month-to-Month,19.99,45,Direct Debit,1,4.9,3,0,0,6,In-Store,45-54,M,Yes,No,0.43,1,2023-03-07 00:00:00.000000,Unknown,0,19.99,37m+,0.730901,1
UK00043,2020-11-21 00:00:00.000000,Yorkshire,Standard,1-Year,19.99,1,Credit Card,4,5.5,0,0,0,7,In-Store,65+,M,No,Yes,0.33,1,2026-03-14 00:00:00.000000,Competitor offer,0,4.9975,0-6m,0.7929254,1
UK00044,2020-04-27 00:00:00.000000,London,Basic,Month-to-Month,9.99,71,Direct Debit,2,3.0,5,2,0,6,Online,65+,M,No,No,0.77,0,,,0,4.995,37m+,0.5223681,1
UK00045,2020-05-07 00:00:00.000000,South East,Enterprise,Month-to-Month,79.99,71,Credit Card,5,102.6,1,2,1,4,Referral,25-34,M,No,No,0.33,0,,,0,15.998,37m+,0.14824656,0
UK00046,2020-12-24 00:00:00.000000,Yorkshire,Standard,1-Year,19.99,43,Direct Debit,4,22.5,4,1,3,7,Online,55-64,M,No,No,0.42,1,2023-07-19 00:00:00.000000,Competitor offer,0,4.9975,37m+,0.85401756,1
UK00047,2020-09-29 00:00:00.000000,Yorkshire,Basic,2-Year,9.99,43,Credit Card,4,4.9,0,2,0,9,Referral,25-34,F,No,Yes,0.12,0,,,0,2.4975,37m+,0.08482,0
UK00048,2022-01-30 00:00:00.000000,South West,Premium,2-Year,39.99,49,Direct Debit,4,80.8,3,0,0,8,Online,25-34,M,Yes,Yes,0.02,0,,,0,9.9975,37m+,0.014098733,0
UK00049,2021-04-07 00:00:00.000000,North East,Premium,Month-to-Month,39.99,6,Credit Card,3,8.5,1,0,0,1,Phone,35-44,F,No,Yes,0.55,1,2026-03-07 00:00:00.000000,Poor service quality,0,13.33,0-6m,0.89980507,1
UK00050,2020-09-24 00:00:00.000000,London,Basic,2-Year,9.99,60,Direct Debit,2,1.9,0,2,3,8,In-Store,25-34,F,Yes,No,0.36,0,,,0,4.995,37m+,0.36770743,0
UK00051,2022-05-26 00:00:00.000000,North West,Basic,1-Year,9.99,46,Bank Transfer,3,6.0,0,1,0,10,Partner,45-54,F,No,Yes,0.02,0,,,0,3.33,37m+,0.15573214,0
UK00052,2022-01-16 00:00:00.000000,East Midlands,Standard,1-Year,19.99,33,PayPal,2,12.6,2,2,0,8,Online,35-44,M,No,No,0.3,0,,,0,9.995,25-36m,0.107796796,0
UK00053,2020-06-14 00:00:00.000000,London,Basic,2-Year,9.99,70,Credit Card,5,3.8,4,1,0,6,Referral,55-64,M,Yes,Yes,0.28,0,,,0,1.998,37m+,0.15320279,0
UK00054,2020-08-28 00:00:00.000000,West Midlands,Basic,2-Year,9.99,51,Direct Debit,3,1.5,0,0,0,9,Phone,45-54,F,No,Yes,0.02,0,,,0,3.33,37m+,0.027467946,0
UK00055,2020-04-24 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,72,Bank Transfer,1,10.2,2,0,0,8,Online,35-44,M,Yes,No,0.17,0,,,0,19.99,37m+,0.11680176,0
UK00056,2020-06-02 00:00:00.000000,East of England,Premium,Month-to-Month,39.99,70,Direct Debit,2,36.0,3,1,1,8,Partner,18-24,M,No,No,0.29,0,,,0,19.995,37m+,0.22953951,0
UK00057,2020-07-26 00:00:00.000000,London,Premium,1-Year,39.99,48,Direct Debit,3,84.8,0,0,2,10,Phone,45-54,M,No,Yes,0.02,0,,,0,13.33,37m+,0.1324595,0
UK00058,2020-04-24 00:00:00.000000,London,Premium,Month-to-Month,39.99,71,Credit Card,2,31.8,1,0,2,4,Partner,65+,F,Yes,Yes,0.31,0,,,0,19.995,37m+,0.19381024,0
UK00059,2022-05-05 00:00:00.000000,London,Basic,1-Year,9.99,31,Direct Debit,3,3.0,0,1,0,0,Online,35-44,Prefer not to say,Yes,No,0.54,1,2023-10-07 00:00:00.000000,Price too high,1,3.33,25-36m,0.7575411,1
UK00060,2021-01-07 00:00:00.000000,North West,Standard,1-Year,19.99,14,Credit Card,1,5.2,3,0,0,10,Phone,35-44,M,No,No,0.14,0,,,0,19.99,13-24m,0.10402898,0
UK00061,2022-11-08 00:00:00.000000,East of England,Standard,2-Year,19.99,15,Credit Card,5,12.7,2,0,0,8,Phone,25-34,M,No,No,0.02,0,,,0,3.9979999999999998,13-24m,0.014045238,0
UK00062,2020-08-24 00:00:00.000000,North West,Premium,2-Year,39.99,12,Direct Debit,1,65.3,2,0,0,2,Phone,35-44,M,No,No,0.26,0,,,0,39.99,7-12m,0.084023155,0
UK00063,2020-08-19 00:00:00.000000,Scotland,Premium,Month-to-Month,39.99,40,PayPal,2,28.1,0,0,1,8,Phone,55-64,F,Yes,No,0.09,1,2024-06-21 00:00:00.000000,No longer needed,0,19.995,37m+,0.48766804,0
UK00064,2021-05-04 00:00:00.000000,South East,Standard,Month-to-Month,19.99,1,Direct Debit,4,18.2,0,1,3,3,Online,35-44,M,No,No,0.95,1,2026-03-12 00:00:00.000000,Competitor offer,1,4.9975,0-6m,0.9113801,1
UK00065,2022-09-21 00:00:00.000000,London,Premium,1-Year,39.99,7,Credit Card,4,45.3,1,0,0,5,Phone,45-54,F,No,Yes,0.18,0,,,0,9.9975,7-12m,0.05967498,0
UK00066,2023-02-06 00:00:00.000000,London,Enterprise,Month-to-Month,79.99,27,Direct Debit,2,90.5,2,0,0,4,Online,35-44,F,No,Yes,0.25,0,,,0,39.995,25-36m,0.28488863,0
UK00067,2020-10-07 00:00:00.000000,North West,Premium,2-Year,39.99,59,Credit Card,5,39.4,1,0,0,9,Partner,35-44,F,No,Yes,0.02,0,,,0,7.998,37m+,0.007849863,0
UK00068,2020-07-11 00:00:00.000000,North West,Basic,1-Year,9.99,52,Direct Debit,3,4.5,2,0,1,6,Online,35-44,F,No,No,0.3,0,,,0,3.33,37m+,0.1354545,0
UK00069,2023-01-30 00:00:00.000000,South West,Premium,Month-to-Month,39.99,31,Direct Debit,2,62.1,2,1,0,5,Phone,45-54,F,No,No,0.39,1,2023-11-14 00:00:00.000000,Competitor offer,0,19.995,25-36m,0.5293366,1
UK00070,2020-09-28 00:00:00.000000,East of England,Standard,Month-to-Month,19.99,8,Direct Debit,4,21.3,1,0,1,2,Partner,18-24,F,No,No,0.67,1,2026-02-14 00:00:00.000000,No longer needed,0,4.9975,7-12m,0.8696194,1
UK00071,2020-10-13 00:00:00.000000,North East,Basic,Month-to-Month,9.99,25,Direct Debit,2,5.2,4,0,1,7,Online,25-34,M,No,Yes,0.57,1,2024-12-18 00:00:00.000000,Poor service quality,0,4.995,25-36m,0.74460024,1
UK00072,2021-09-22 00:00:00.000000,West Midlands,Premium,2-Year,39.99,7,Direct Debit,1,0.1,1,0,0,8,Phone,55-64,F,No,Yes,0.1,0,,,0,39.99,7-12m,0.11181662,0
UK00073,2021-10-15 00:00:00.000000,South East,Basic,Month-to-Month,9.99,51,Credit Card,1,3.9,1,0,1,8,Phone,35-44,M,No,Yes,0.35,0,,,0,9.99,37m+,0.23424025,0
UK00074,2023-05-04 00:00:00.000000,East of England,Standard,Month-to-Month,19.99,25,PayPal,1,3.8,0,1,0,3,Referral,18-24,M,Yes,No,0.69,1,2024-09-05 00:00:00.000000,Moved abroad,1,19.99,25-36m,0.906706,1
UK00075,2022-10-30 00:00:00.000000,East of England,Premium,1-Year,39.99,22,Credit Card,3,36.9,2,0,0,1,Online,65+,F,Yes,No,0.32,0,,,0,13.33,13-24m,0.10029364,0
UK00076,2021-02-01 00:00:00.000000,North West,Standard,2-Year,19.99,37,PayPal,4,21.7,5,1,1,7,Online,35-44,M,Yes,Yes,0.22,0,,,0,4.9975,37m+,0.103919365,0
UK00077,2020-07-28 00:00:00.000000,South East,Premium,Month-to-Month,39.99,66,Credit Card,2,25.5,3,2,2,7,Partner,35-44,M,Yes,No,0.59,0,,,0,19.995,37m+,0.23914042,0
UK00078,2020-09-02 00:00:00.000000,South East,Basic,1-Year,9.99,61,Credit Card,4,3.8,1,0,0,3,Online,65+,F,No,Yes,0.42,0,,,0,2.4975,37m+,0.09976438,0
UK00079,2023-07-15 00:00:00.000000,London,Basic,Month-to-Month,9.99,31,Credit Card,4,0.9,0,1,0,9,Online,35-44,F,Yes,No,0.35,1,2025-07-21 00:00:00.000000,Price too high,0,2.4975,25-36m,0.65407085,1
UK00080,2020-07-14 00:00:00.000000,London,Enterprise,1-Year,79.99,68,Credit Card,5,100.9,1,0,0,9,Online,45-54,M,Yes,No,0.02,0,,,0,15.998,37m+,0.026555393,0
UK00081,2022-01-30 00:00:00.000000,London,Premium,Month-to-Month,39.99,43,Credit Card,3,11.2,3,0,1,6,Online,45-54,Prefer not to say,Yes,No,0.27,1,2023-10-24 00:00:00.000000,Payment issues,0,13.33,37m+,0.5347024,1
UK00082,2020-06-11 00:00:00.000000,South East,Standard,2-Year,19.99,51,PayPal,3,14.0,0,0,0,7,Online,25-34,M,No,No,0.02,0,,,0,6.663333333333333,37m+,0.011656999,0
UK00083,2020-06-09 00:00:00.000000,Wales,Standard,1-Year,19.99,64,Direct Debit,5,0.1,0,0,0,6,Online,18-24,F,No,No,0.1,0,,,0,3.9979999999999998,37m+,0.030403314,0
UK00084,2022-07-13 00:00:00.000000,West Midlands,Standard,Month-to-Month,19.99,45,Bank Transfer,3,20.3,2,0,0,8,Online,45-54,M,Yes,Yes,0.11,0,,,0,6.663333333333333,37m+,0.1172391,0
UK00085,2022-05-23 00:00:00.000000,East of England,Standard,Month-to-Month,19.99,5,Credit Card,3,15.7,1,2,0,5,Referral,45-54,F,No,No,0.72,1,2025-12-27 00:00:00.000000,Unknown,0,6.663333333333333,0-6m,0.8668413,1
UK00086,2020-07-06 00:00:00.000000,London,Basic,Month-to-Month,9.99,67,Direct Debit,3,4.3,2,1,0,7,Partner,25-34,M,Yes,No,0.47,1,2024-09-20 00:00:00.000000,Poor service quality,0,3.33,37m+,0.5918684,1
UK00087,2022-02-06 00:00:00.000000,West Midlands,Basic,1-Year,9.99,41,Credit Card,5,2.2,1,2,1,8,Online,25-34,Prefer not to say,Yes,Yes,0.34,0,,,0,1.998,37m+,0.15413956,0
UK00088,2021-08-27 00:00:00.000000,Yorkshire,Basic,1-Year,9.99,48,Direct Debit,2,0.1,2,0,0,10,Referral,55-64,M,No,Yes,0.18,0,,,0,4.995,37m+,0.14463021,0
UK00089,2020-04-29 00:00:00.000000,South East,Premium,1-Year,39.99,71,Credit Card,2,54.2,1,2,0,4,Partner,25-34,Prefer not to say,No,Yes,0.24,0,,,0,19.995,37m+,0.06767786,0
UK00090,2021-03-05 00:00:00.000000,Yorkshire,Standard,1-Year,19.99,17,Credit Card,1,14.4,1,0,2,8,Phone,55-64,M,Yes,Yes,0.18,1,2026-02-27 00:00:00.000000,Competitor offer,0,19.99,13-24m,0.49496645,0
UK00091,2021-02-22 00:00:00.000000,East Midlands,Standard,1-Year,19.99,54,Direct Debit,5,15.1,0,2,0,1,Phone,25-34,M,No,Yes,0.42,1,2022-08-06 00:00:00.000000,Poor service quality,1,3.9979999999999998,37m+,0.43073344,0
UK00092,2020-08-27 00:00:00.000000,West Midlands,Premium,2-Year,39.99,45,Credit Card,3,12.8,1,0,0,3,Online,18-24,M,No,No,0.08,0,,,0,13.33,37m+,0.018190699,0
UK00093,2020-05-17 00:00:00.000000,London,Premium,2-Year,39.99,42,Credit Card,2,25.7,2,0,0,8,Online,35-44,M,No,Yes,0.02,0,,,0,19.995,37m+,0.029674772,0
UK00094,2020-11-16 00:00:00.000000,North East,Standard,Month-to-Month,19.99,61,Credit Card,1,12.0,1,2,1,0,In-Store,45-54,M,No,Yes,0.73,1,2023-09-28 00:00:00.000000,No longer needed,1,19.99,37m+,0.67721564,1
UK00095,2023-03-02 00:00:00.000000,Wales,Basic,Month-to-Month,9.99,16,Direct Debit,3,3.0,3,0,2,2,Online,18-24,F,No,No,0.85,1,2026-03-01 00:00:00.000000,Competitor offer,0,3.33,13-24m,0.8898961,1
UK00096,2023-01-22 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,21,Direct Debit,3,8.0,2,0,0,8,Online,55-64,M,Yes,No,0.19,0,,,0,6.663333333333333,13-24m,0.43238285,0
UK00097,2023-10-15 00:00:00.000000,West Midlands,Premium,1-Year,39.99,4,PayPal,5,60.2,1,1,0,5,Online,55-64,M,Yes,Yes,0.39,1,2026-01-03 00:00:00.000000,Poor service quality,0,7.998,0-6m,0.59266734,1
UK00098,2020-10-10 00:00:00.000000,London,Standard,2-Year,19.99,65,Direct Debit,1,19.4,2,0,0,10,Online,65+,M,No,No,0.02,0,,,0,19.99,37m+,0.016773155,0
UK00099,2021-06-22 00:00:00.000000,West Midlands,Premium,1-Year,39.99,34,Direct Debit,2,83.4,0,0,2,4,In-Store,35-44,F,No,No,0.2,1,2025-04-30 00:00:00.000000,Competitor offer,0,19.995,25-36m,0.48323998,0
UK00100,2021-07-20 00:00:00.000000,North West,Premium,2-Year,39.99,45,Direct Debit,3,40.7,0,2,0,9,Phone,25-34,F,No,No,0.02,0,,,0,13.33,37m+,0.024297014,0
UK00101,2021-01-30 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,32,Credit Card,2,11.4,2,0,0,10,Phone,65+,M,No,No,0.25,0,,,0,9.995,25-36m,0.19454831,0
UK00102,2020-07-09 00:00:00.000000,South East,Premium,1-Year,39.99,37,Bank Transfer,1,34.9,2,0,1,10,Online,55-64,M,Yes,No,0.02,0,,,0,39.99,37m+,0.08000553,0
UK00103,2021-10-12 00:00:00.000000,East of England,Basic,2-Year,9.99,38,Direct Debit,5,0.9,2,2,0,0,Partner,55-64,M,Yes,Yes,0.54,1,2025-09-04 00:00:00.000000,Competitor offer,1,1.998,37m+,0.20853722,0
UK00104,2021-07-05 00:00:00.000000,London,Premium,2-Year,39.99,44,Direct Debit,2,54.1,0,1,2,7,Online,45-54,M,Yes,No,0.08,0,,,0,19.995,37m+,0.123533465,0
UK00105,2020-08-29 00:00:00.000000,South East,Basic,Month-to-Month,9.99,31,Direct Debit,3,1.7,1,1,0,5,In-Store,25-34,F,No,Yes,0.51,0,,,0,3.33,25-36m,0.26213956,0
UK00106,2023-05-23 00:00:00.000000,North West,Enterprise,Month-to-Month,79.99,29,Bank Transfer,2,44.2,1,3,0,3,Referral,55-64,F,Yes,Yes,0.63,1,2025-04-28 00:00:00.000000,No longer needed,1,39.995,25-36m,0.84814024,1
UK00107,2021-06-18 00:00:00.000000,Yorkshire,Basic,2-Year,9.99,8,Direct Debit,2,2.3,1,0,0,10,In-Store,55-64,M,Yes,No,0.22,1,2025-11-10 00:00:00.000000,Competitor offer,0,4.995,7-12m,0.561551,1
UK00108,2021-04-11 00:00:00.000000,North West,Basic,1-Year,9.99,40,Direct Debit,1,2.9,2,0,0,6,In-Store,18-24,F,No,Yes,0.3,1,2023-12-13 00:00:00.000000,No longer needed,0,9.99,37m+,0.32531545,0
UK00109,2020-09-07 00:00:00.000000,Wales,Premium,Month-to-Month,39.99,54,Direct Debit,4,31.4,3,2,0,10,Online,25-34,F,Yes,Yes,0.29,0,,,0,9.9975,37m+,0.31786993,0
UK00110,2020-07-12 00:00:00.000000,Wales,Premium,1-Year,39.99,60,Credit Card,5,14.8,1,0,0,7,Partner,45-54,M,No,Yes,0.02,0,,,0,7.998,37m+,0.018094653,0
UK00111,2021-05-26 00:00:00.000000,East Midlands,Basic,1-Year,9.99,58,Credit Card,1,0.6,0,0,0,8,In-Store,25-34,F,No,No,0.1,0,,,0,9.99,37m+,0.1391628,0
UK00112,2020-06-07 00:00:00.000000,Wales,Premium,Month-to-Month,39.99,67,Direct Debit,1,35.7,1,0,1,6,In-Store,35-44,Prefer not to say,No,No,0.25,0,,,0,39.99,37m+,0.08906714,0
UK00113,2022-08-25 00:00:00.000000,South East,Standard,2-Year,19.99,24,Direct Debit,2,18.6,1,1,1,7,Online,25-34,M,Yes,No,0.2,0,,,0,9.995,13-24m,0.2732283,0
UK00114,2023-08-10 00:00:00.000000,West Midlands,Basic,Month-to-Month,9.99,25,Direct Debit,5,2.0,2,2,0,6,Phone,35-44,F,No,No,0.67,0,,,0,1.998,25-36m,0.20368402,0
UK00115,2021-11-24 00:00:00.000000,Scotland,Basic,1-Year,9.99,16,Credit Card,2,3.1,2,1,0,9,In-Store,35-44,M,No,No,0.34,1,2025-12-03 00:00:00.000000,Competitor offer,0,4.995,13-24m,0.13703816,0
UK00116,2021-12-13 00:00:00.000000,North East,Premium,Month-to-Month,39.99,48,Direct Debit,2,64.8,2,0,0,1,In-Store,25-34,M,No,Yes,0.45,0,,,0,19.995,37m+,0.19613925,0
UK00117,2021-05-05 00:00:00.000000,West Midlands,Premium,2-Year,39.99,33,Bank Transfer,4,63.0,1,1,0,7,In-Store,45-54,M,Yes,Yes,0.02,0,,,0,9.9975,25-36m,0.01801626,0
UK00118,2021-05-11 00:00:00.000000,East of England,Premium,Month-to-Month,39.99,53,Credit Card,1,66.8,2,0,0,8,Phone,65+,F,No,Yes,0.11,1,2024-12-18 00:00:00.000000,Poor service quality,0,39.99,37m+,0.18498778,0
UK00119,2020-05-18 00:00:00.000000,West Midlands,Basic,2-Year,9.99,69,Direct Debit,4,3.7,3,2,0,0,Online,35-44,F,Yes,No,0.58,0,,,1,2.4975,37m+,0.2991304,0
UK00120,2020-11-01 00:00:00.000000,South East,Standard,Month-to-Month,19.99,29,Direct Debit,1,13.9,2,1,1,9,Online,35-44,F,Yes,Yes,0.39,0,,,0,19.99,25-36m,0.24452135,0
UK00121,2020-09-23 00:00:00.000000,East of England,Standard,2-Year,19.99,13,Direct Debit,2,10.2,0,1,1,10,Online,35-44,F,Yes,No,0.04,1,2025-06-13 00:00:00.000000,Competitor offer,0,9.995,13-24m,0.2847107,0
UK00122,2021-10-29 00:00:00.000000,West Midlands,Premium,2-Year,39.99,51,Credit Card,5,46.1,0,1,0,5,Referral,25-34,Prefer not to say,Yes,No,0.02,0,,,0,7.998,37m+,0.02053186,0
